"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/29/2023","12/29/2023","12/29/2023","","Interest Payment","INT","","","$11.12"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","STC","12","$1.38","$1,655.59"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","12","$1.25","($1,500.36)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","STC","30","$1.39","$4,168.99"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","28","$1.36","($3,808.84)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","1","$1.36","($136.03)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","1","$1.36","($136.03)"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","STC","1","$1.45","$144.95"
"12/29/2023","12/29/2023","1/2/2024","SPY","SPY 1/2/2024 Put $474.00","BTO","1","$1.40","($140.03)"
"12/28/2023","12/28/2023","12/28/2023","NVDA","Cash Div: R/D 2023-12-06 P/D 2023-12-28 - 5 shares at 0.04","CDIV","","","$0.20"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","5","$0.90","$449.83"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","1","$0.90","$89.95"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","19","$0.90","$1,709.36"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","STC","5","$0.90","$449.83"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","5","$0.89","($445.15)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","5","$0.89","($445.15)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","1","$0.89","($89.03)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","3","$0.89","($267.09)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","5","$0.89","($445.15)"
"12/28/2023","12/28/2023","12/29/2023","SPY","SPY 12/29/2023 Call $478.00","BTO","11","$0.89","($979.33)"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","STC","1","$0.68","$67.95"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","BTO","1","$0.82","($82.03)"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","STC","17","$0.72","$1,223.44"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","STC","13","$0.72","$935.57"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","STC","1","$0.72","$71.95"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","STC","2","$0.72","$143.92"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","STC","2","$0.72","$143.92"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","BTO","17","$1.00","($1,700.51)"
"12/27/2023","12/27/2023","12/28/2023","SPY","SPY 12/28/2023 Call $477.00","BTO","18","$1.00","($1,800.54)"
"12/27/2023","12/27/2023","12/28/2023","MSFT","MSFT 12/29/2023 Put $372.50","STC","20","$1.54","$3,079.32"
"12/27/2023","12/27/2023","12/28/2023","MSFT","MSFT 12/29/2023 Put $372.50","BTO","20","$1.50","($3,000.60)"
"12/26/2023","12/26/2023","12/27/2023","SPY","SPY 12/27/2023 Call $475.00","STC","15","$1.16","$1,739.49"
"12/26/2023","12/26/2023","12/27/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","15","$1.20","($1,800.45)"
"12/26/2023","12/26/2023","12/27/2023","SPY","SPY 12/27/2023 Call $475.00","STC","8","$1.19","$951.73"
"12/26/2023","12/26/2023","12/27/2023","SPY","SPY 12/27/2023 Call $475.00","STC","27","$1.19","$3,212.09"
"12/26/2023","12/26/2023","12/27/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","35","$1.16","($4,061.05)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/26/2023 Call $476.00","STC","1","$0.42","$41.95"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/26/2023 Call $476.00","BTO","1","$0.34","($34.03)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/26/2023 Put $475.00","STC","2","$1.60","$319.92"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/26/2023 Put $475.00","STC","1","$1.60","$159.95"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/26/2023 Put $475.00","BTO","3","$1.55","($465.09)"
"12/22/2023","12/22/2023","12/27/2023","F","Ford Motor
CUSIP: 345370860","Sell","15","$12.30","$184.50"
"12/22/2023","12/22/2023","12/27/2023","F","Ford Motor
CUSIP: 345370860","Sell","1","$12.30","$12.30"
"12/22/2023","12/22/2023","12/27/2023","F","Ford Motor
CUSIP: 345370860","Sell","38","$12.30","$467.40"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","STC","20","$2.06","$4,119.31"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","15","$2.06","($3,090.45)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","5","$2.10","($1,050.15)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","STC","5","$2.20","$1,099.83"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","1","$2.11","($211.03)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","1","$2.11","($211.03)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","1","$2.11","($211.03)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","2","$2.09","($418.06)"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","STC","1","$2.00","$199.95"
"12/22/2023","12/22/2023","12/26/2023","SPY","SPY 12/27/2023 Call $475.00","BTO","1","$1.83","($183.03)"
"12/21/2023","12/21/2023","12/26/2023","F","Ford Motor
CUSIP: 345370860","Sell","0.322194","$12.07","$3.89"
"12/21/2023","12/21/2023","12/22/2023","SPY","SPY 12/22/2023 Call $472.00","STC","18","$1.60","$2,879.39"
"12/21/2023","12/21/2023","12/22/2023","SPY","SPY 12/22/2023 Call $472.00","STC","17","$1.60","$2,719.42"
"12/21/2023","12/21/2023","12/22/2023","SPY","SPY 12/22/2023 Call $472.00","BTO","35","$1.56","($5,461.05)"
"12/20/2023","12/20/2023","12/21/2023","SPY","SPY 12/21/2023 Call $475.00","STC","35","$1.42","$4,968.82"
"12/20/2023","12/20/2023","12/21/2023","SPY","SPY 12/21/2023 Call $475.00","STC","3","$1.42","$425.89"
"12/20/2023","12/20/2023","12/21/2023","SPY","SPY 12/21/2023 Call $475.00","BTO","37","$1.38","($5,107.11)"
"12/20/2023","12/20/2023","12/21/2023","SPY","SPY 12/21/2023 Call $475.00","BTO","1","$1.37","($137.03)"
"12/15/2023","12/15/2023","12/19/2023","NVDA","NVIDIA
CUSIP: 67066G104","Sell","5","$491.23","$2,456.13"
"12/15/2023","12/15/2023","12/18/2023","SPY","SPY 12/18/2023 Call $471.00","STC","29","$0.94","$2,725.03"
"12/15/2023","12/15/2023","12/18/2023","SPY","SPY 12/18/2023 Call $471.00","STC","1","$0.94","$93.95"
"12/15/2023","12/15/2023","12/18/2023","SPY","SPY 12/18/2023 Call $471.00","BTO","30","$0.91","($2,730.90)"
"12/14/2023","12/14/2023","12/14/2023","","Gold Subscription Fee","GOLD","","","($5.00)"
"12/14/2023","12/14/2023","12/15/2023","SPY","SPY 12/15/2023 Call $473.00","STC","15","$1.50","$2,249.49"
"12/14/2023","12/14/2023","12/15/2023","SPY","SPY 12/15/2023 Call $473.00","STC","15","$1.50","$2,249.49"
"12/14/2023","12/14/2023","12/15/2023","SPY","SPY 12/15/2023 Call $473.00","BTO","29","$1.29","($3,741.87)"
"12/14/2023","12/14/2023","12/15/2023","SPY","SPY 12/15/2023 Call $473.00","BTO","1","$1.29","($129.03)"
"12/13/2023","12/13/2023","12/14/2023","SPY","SPY 12/15/2023 Call $467.00","STC","1","$1.40","$139.95"
"12/13/2023","12/13/2023","12/14/2023","SPY","SPY 12/15/2023 Call $467.00","STC","24","$1.40","$3,359.19"
"12/13/2023","12/13/2023","12/14/2023","SPY","SPY 12/15/2023 Call $467.00","BTO","15","$1.03","($1,545.45)"
"12/13/2023","12/13/2023","12/14/2023","SPY","SPY 12/15/2023 Call $467.00","BTO","5","$0.89","($445.15)"
"12/13/2023","12/13/2023","12/15/2023","ARKK","ARK Innovation ETF
CUSIP: 00214Q104","Sell","3","$47.47","$142.41"
"12/13/2023","12/13/2023","12/15/2023","U","Unity Software
CUSIP: 91332U101","Sell","10","$33.25","$332.51"
"12/13/2023","12/13/2023","12/14/2023","SPY","SPY 12/15/2023 Call $467.00","BTO","5","$0.90","($450.15)"
"12/11/2023","12/11/2023","12/12/2023","SPY","SPY 12/12/2023 Call $461.00","STC","1","$1.38","$137.95"
"12/11/2023","12/11/2023","12/12/2023","SPY","SPY 12/12/2023 Call $461.00","BTO","1","$1.43","($143.03)"
"12/11/2023","12/11/2023","12/13/2023","ARM","Arm Holdings plc
CUSIP: 042068205","Sell","10","$64.60","$645.99"
"12/7/2023","12/7/2023","12/7/2023","U","Stock Lending","SLIP","","","$0.01"
"12/7/2023","12/7/2023","12/7/2023","ARM","Stock Lending","SLIP","","","$0.01"
"12/7/2023","12/7/2023","12/7/2023","ARKK","Stock Lending","SLIP","","","$0.01"
"12/4/2023","12/4/2023","12/6/2023","F","Ford Motor
CUSIP: 345370860
Dividend Reinvestment","Buy","0.615384","$10.66","($6.56)"
"12/1/2023","12/1/2023","12/1/2023","F","Cash Div: R/D 2023-11-01 P/D 2023-12-01 - 43.70681 shares at 0.15","CDIV","","","$6.56"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
